,DJIA,Fecha,Year,Month,Day
0,11497.12,1999-12-31,1999,12,31
1,11357.51,2000-01-03,2000,1,3
2,10997.93,2000-01-04,2000,1,4
3,11122.65,2000-01-05,2000,1,5
4,11253.26,2000-01-06,2000,1,6
5,11522.56,2000-01-07,2000,1,7
6,11572.2,2000-01-10,2000,1,10
7,11511.08,2000-01-11,2000,1,11
8,11551.1,2000-01-12,2000,1,12
9,11582.43,2000-01-13,2000,1,13
10,11722.98,2000-01-14,2000,1,14
11,11560.72,2000-01-18,2000,1,18
12,11489.36,2000-01-19,2000,1,19
13,11351.3,2000-01-20,2000,1,20
14,11251.71,2000-01-21,2000,1,21
15,11008.17,2000-01-24,2000,1,24
16,11029.89,2000-01-25,2000,1,25
17,11032.99,2000-01-26,2000,1,26
18,11028.02,2000-01-27,2000,1,27
19,10738.87,2000-01-28,2000,1,28
20,10940.53,2000-01-31,2000,1,31
21,11041.05,2000-02-01,2000,2,1
22,11003.2,2000-02-02,2000,2,2
23,11013.44,2000-02-03,2000,2,3
24,10963.8,2000-02-04,2000,2,4
25,10905.79,2000-02-07,2000,2,7
26,10957.6,2000-02-08,2000,2,8
27,10699.16,2000-02-09,2000,2,9
28,10643.63,2000-02-10,2000,2,10
29,10425.21,2000-02-11,2000,2,11
30,10519.84,2000-02-14,2000,2,14
31,10718.09,2000-02-15,2000,2,15
32,10561.41,2000-02-16,2000,2,16
33,10514.57,2000-02-17,2000,2,17
34,10219.52,2000-02-18,2000,2,18
35,10304.84,2000-02-22,2000,2,22
36,10225.73,2000-02-23,2000,2,23
37,10092.63,2000-02-24,2000,2,24
38,9862.12,2000-02-25,2000,2,25
39,10038.65,2000-02-28,2000,2,28
40,10128.31,2000-02-29,2000,2,29
41,10137.93,2000-03-01,2000,3,1
42,10164.92,2000-03-02,2000,3,2
43,10367.2,2000-03-03,2000,3,3
44,10170.5,2000-03-06,2000,3,6
45,9796.03,2000-03-07,2000,3,7
46,9856.53,2000-03-08,2000,3,8
47,10010.73,2000-03-09,2000,3,9
48,9928.82,2000-03-10,2000,3,10
49,9947.13,2000-03-13,2000,3,13
50,9811.24,2000-03-14,2000,3,14
51,10131.41,2000-03-15,2000,3,15
52,10630.6,2000-03-16,2000,3,16
53,10595.23,2000-03-17,2000,3,17
54,10680.24,2000-03-20,2000,3,20
55,10901.34,2000-03-21,2000,3,21
56,10866.7,2000-03-22,2000,3,22
57,11119.86,2000-03-23,2000,3,23
58,11112.72,2000-03-24,2000,3,24
59,11025.85,2000-03-27,2000,3,27
60,10936.11,2000-03-28,2000,3,28
61,11018.72,2000-03-29,2000,3,29
62,10980.25,2000-03-30,2000,3,30
63,10921.92,2000-03-31,2000,3,31
64,11221.93,2000-04-03,2000,4,3
65,11164.84,2000-04-04,2000,4,4
66,11033.92,2000-04-05,2000,4,5
67,11114.27,2000-04-06,2000,4,6
68,11111.48,2000-04-07,2000,4,7
69,11186.56,2000-04-10,2000,4,10
70,11287.08,2000-04-11,2000,4,11
71,11125.13,2000-04-12,2000,4,12
72,10923.55,2000-04-13,2000,4,13
73,10305.77,2000-04-14,2000,4,14
74,10582.51,2000-04-17,2000,4,17
75,10767.42,2000-04-18,2000,4,18
76,10674.96,2000-04-19,2000,4,19
77,10844.05,2000-04-20,2000,4,20
78,10906.1,2000-04-24,2000,4,24
79,11124.82,2000-04-25,2000,4,25
80,10945.5,2000-04-26,2000,4,26
81,10888.1,2000-04-27,2000,4,27
82,10733.91,2000-04-28,2000,4,28
83,10811.78,2000-05-01,2000,5,1
84,10731.12,2000-05-02,2000,5,2
85,10480.13,2000-05-03,2000,5,3
86,10412.49,2000-05-04,2000,5,4
87,10577.86,2000-05-05,2000,5,5
88,10603.63,2000-05-08,2000,5,8
89,10536.75,2000-05-09,2000,5,9
90,10367.78,2000-05-10,2000,5,10
91,10545.97,2000-05-11,2000,5,11
92,10609.37,2000-05-12,2000,5,12
93,10807.78,2000-05-15,2000,5,15
94,10934.57,2000-05-16,2000,5,16
95,10769.74,2000-05-17,2000,5,17
96,10777.28,2000-05-18,2000,5,18
97,10626.85,2000-05-19,2000,5,19
98,10542.55,2000-05-22,2000,5,22
99,10422.27,2000-05-23,2000,5,23
100,10535.35,2000-05-24,2000,5,24
101,10323.92,2000-05-25,2000,5,25
102,10299.24,2000-05-26,2000,5,26
103,10527.13,2000-05-30,2000,5,30
104,10522.33,2000-05-31,2000,5,31
105,10650.2,2000-06-01,2000,6,1
106,10794.76,2000-06-02,2000,6,2
107,10815.3,2000-06-05,2000,6,5
108,10735.57,2000-06-06,2000,6,6
109,10812.96,2000-06-07,2000,6,7
110,10668.72,2000-06-08,2000,6,8
111,10614.06,2000-06-09,2000,6,9
112,10564.21,2000-06-12,2000,6,12
113,10621.84,2000-06-13,2000,6,13
114,10687.95,2000-06-14,2000,6,14
115,10714.82,2000-06-15,2000,6,15
116,10449.3,2000-06-16,2000,6,16
117,10557.84,2000-06-19,2000,6,19
118,10435.16,2000-06-20,2000,6,20
119,10497.74,2000-06-21,2000,6,21
120,10376.12,2000-06-22,2000,6,22
121,10404.75,2000-06-23,2000,6,23
122,10542.99,2000-06-26,2000,6,26
123,10504.46,2000-06-27,2000,6,27
124,10527.79,2000-06-28,2000,6,28
125,10398.04,2000-06-29,2000,6,29
126,10447.89,2000-06-30,2000,6,30
127,10560.67,2000-07-03,2000,7,3
128,10483.6,2000-07-05,2000,7,5
129,10481.47,2000-07-06,2000,7,6
130,10635.98,2000-07-07,2000,7,7
131,10646.58,2000-07-10,2000,7,10
132,10727.19,2000-07-11,2000,7,11
133,10783.41,2000-07-12,2000,7,12
134,10788.71,2000-07-13,2000,7,13
135,10812.75,2000-07-14,2000,7,14
136,10804.27,2000-07-17,2000,7,17
137,10739.92,2000-07-18,2000,7,18
138,10696.08,2000-07-19,2000,7,19
139,10843.87,2000-07-20,2000,7,20
140,10733.56,2000-07-21,2000,7,21
141,10685.12,2000-07-24,2000,7,24
142,10699.97,2000-07-25,2000,7,25
143,10516.48,2000-07-26,2000,7,26
144,10586.13,2000-07-27,2000,7,27
145,10511.17,2000-07-28,2000,7,28
146,10521.98,2000-07-31,2000,7,31
147,10606.95,2000-08-01,2000,8,1
148,10687.53,2000-08-02,2000,8,2
149,10706.58,2000-08-03,2000,8,3
150,10767.75,2000-08-04,2000,8,4
151,10867.01,2000-08-07,2000,8,7
152,10976.89,2000-08-08,2000,8,8
153,10905.83,2000-08-09,2000,8,9
154,10908.76,2000-08-10,2000,8,10
155,11027.8,2000-08-11,2000,8,11
156,11176.14,2000-08-14,2000,8,14
157,11067.0,2000-08-15,2000,8,15
158,11008.39,2000-08-16,2000,8,16
159,11055.64,2000-08-17,2000,8,17
160,11046.48,2000-08-18,2000,8,18
161,11079.81,2000-08-21,2000,8,21
162,11139.15,2000-08-22,2000,8,22
163,11144.65,2000-08-23,2000,8,23
164,11182.74,2000-08-24,2000,8,24
165,11192.63,2000-08-25,2000,8,25
166,11252.84,2000-08-28,2000,8,28
167,11215.1,2000-08-29,2000,8,29
168,11103.01,2000-08-30,2000,8,30
169,11215.1,2000-08-31,2000,8,31
170,11238.78,2000-09-01,2000,9,1
171,11260.61,2000-09-05,2000,9,5
172,11310.64,2000-09-06,2000,9,6
173,11259.87,2000-09-07,2000,9,7
174,11220.65,2000-09-08,2000,9,8
175,11195.49,2000-09-11,2000,9,11
176,11233.23,2000-09-12,2000,9,12
177,11182.18,2000-09-13,2000,9,13
178,11087.47,2000-09-14,2000,9,14
179,10927.06,2000-09-15,2000,9,15
180,10808.52,2000-09-18,2000,9,18
181,10789.29,2000-09-19,2000,9,19
182,10687.92,2000-09-20,2000,9,20
183,10765.52,2000-09-21,2000,9,21
184,10847.37,2000-09-22,2000,9,22
185,10808.15,2000-09-25,2000,9,25
186,10631.32,2000-09-26,2000,9,26
187,10628.36,2000-09-27,2000,9,27
188,10824.06,2000-09-28,2000,9,28
189,10650.92,2000-09-29,2000,9,29
190,10700.13,2000-10-02,2000,10,2
191,10719.74,2000-10-03,2000,10,3
192,10784.48,2000-10-04,2000,10,4
193,10724.92,2000-10-05,2000,10,5
194,10596.54,2000-10-06,2000,10,6
195,10568.43,2000-10-09,2000,10,9
196,10524.4,2000-10-10,2000,10,10
197,10413.79,2000-10-11,2000,10,11
198,10034.58,2000-10-12,2000,10,12
199,10192.18,2000-10-13,2000,10,13
200,10238.8,2000-10-16,2000,10,16
201,10089.71,2000-10-17,2000,10,17
202,9975.02,2000-10-18,2000,10,18
203,10142.98,2000-10-19,2000,10,19
204,10226.59,2000-10-20,2000,10,20
205,10271.72,2000-10-23,2000,10,23
206,10393.07,2000-10-24,2000,10,24
207,10326.48,2000-10-25,2000,10,25
208,10380.12,2000-10-26,2000,10,26
209,10590.62,2000-10-27,2000,10,27
210,10835.77,2000-10-30,2000,10,30
211,10971.14,2000-10-31,2000,10,31
212,10899.47,2000-11-01,2000,11,1
213,10880.51,2000-11-02,2000,11,2
214,10817.95,2000-11-03,2000,11,3
215,10977.21,2000-11-06,2000,11,6
216,10952.18,2000-11-07,2000,11,7
217,10907.06,2000-11-08,2000,11,8
218,10834.25,2000-11-09,2000,11,9
219,10602.95,2000-11-10,2000,11,10
220,10517.25,2000-11-13,2000,11,13
221,10681.06,2000-11-14,2000,11,14
222,10707.6,2000-11-15,2000,11,15
223,10656.03,2000-11-16,2000,11,16
224,10629.87,2000-11-17,2000,11,17
225,10462.65,2000-11-20,2000,11,20
226,10494.5,2000-11-21,2000,11,21
227,10399.32,2000-11-22,2000,11,22
228,10470.23,2000-11-24,2000,11,24
229,10546.07,2000-11-27,2000,11,27
230,10507.58,2000-11-28,2000,11,28
231,10629.11,2000-11-29,2000,11,29
232,10414.49,2000-11-30,2000,11,30
233,10373.54,2000-12-01,2000,12,1
234,10560.1,2000-12-04,2000,12,4
235,10898.72,2000-12-05,2000,12,5
236,10664.38,2000-12-06,2000,12,6
237,10617.36,2000-12-07,2000,12,7
238,10712.91,2000-12-08,2000,12,8
239,10725.8,2000-12-11,2000,12,11
240,10768.27,2000-12-12,2000,12,12
241,10794.44,2000-12-13,2000,12,13
242,10674.99,2000-12-14,2000,12,14
243,10434.96,2000-12-15,2000,12,15
244,10645.42,2000-12-18,2000,12,18
245,10584.37,2000-12-19,2000,12,19
246,10318.93,2000-12-20,2000,12,20
247,10487.29,2000-12-21,2000,12,21
248,10635.56,2000-12-22,2000,12,22
249,10692.44,2000-12-26,2000,12,26
250,10803.16,2000-12-27,2000,12,27
251,10868.76,2000-12-28,2000,12,28
252,10786.85,2000-12-29,2000,12,29
253,10646.15,2001-01-02,2001,1,2
254,10945.75,2001-01-03,2001,1,3
255,10912.41,2001-01-04,2001,1,4
256,10662.01,2001-01-05,2001,1,5
257,10621.35,2001-01-08,2001,1,8
258,10572.55,2001-01-09,2001,1,9
259,10604.27,2001-01-10,2001,1,10
260,10609.55,2001-01-11,2001,1,11
261,10525.38,2001-01-12,2001,1,12
262,10652.66,2001-01-16,2001,1,16
263,10584.34,2001-01-17,2001,1,17
264,10678.28,2001-01-18,2001,1,18
265,10587.59,2001-01-19,2001,1,19
266,10578.24,2001-01-22,2001,1,22
267,10649.81,2001-01-23,2001,1,23
268,10646.97,2001-01-24,2001,1,24
269,10729.52,2001-01-25,2001,1,25
270,10659.98,2001-01-26,2001,1,26
271,10702.19,2001-01-29,2001,1,29
272,10881.2,2001-01-30,2001,1,30
273,10887.36,2001-01-31,2001,1,31
274,10983.63,2001-02-01,2001,2,1
275,10864.1,2001-02-02,2001,2,2
276,10965.85,2001-02-05,2001,2,5
277,10957.42,2001-02-06,2001,2,6
278,10946.72,2001-02-07,2001,2,7
279,10880.55,2001-02-08,2001,2,8
280,10781.45,2001-02-09,2001,2,9
281,10946.77,2001-02-12,2001,2,12
282,10903.32,2001-02-13,2001,2,13
283,10795.41,2001-02-14,2001,2,14
284,10891.02,2001-02-15,2001,2,15
285,10799.82,2001-02-16,2001,2,16
286,10730.88,2001-02-20,2001,2,20
287,10526.58,2001-02-21,2001,2,21
288,10526.81,2001-02-22,2001,2,22
289,10441.9,2001-02-23,2001,2,23
290,10642.53,2001-02-26,2001,2,26
291,10636.88,2001-02-27,2001,2,27
292,10495.28,2001-02-28,2001,2,28
293,10450.14,2001-03-01,2001,3,1
294,10466.31,2001-03-02,2001,3,2
295,10532.3,2001-03-03,2001,3,3
296,10591.22,2001-03-06,2001,3,6
297,10729.6,2001-03-07,2001,3,7
298,10858.25,2001-03-08,2001,3,8
299,10644.62,2001-03-09,2001,3,9
300,10208.25,2001-03-12,2001,3,12
301,10290.8,2001-03-13,2001,3,13
302,9973.46,2001-03-14,2001,3,14
303,10031.28,2001-03-15,2001,3,15
304,9823.41,2001-03-16,2001,3,16
305,9959.11,2001-03-19,2001,3,19
306,9720.76,2001-03-20,2001,3,20
307,9487.0,2001-03-21,2001,3,21
308,9389.48,2001-03-22,2001,3,22
309,9504.78,2001-03-23,2001,3,23
310,9687.53,2001-03-26,2001,3,26
311,9947.54,2001-03-27,2001,3,27
312,9785.35,2001-03-28,2001,3,28
313,9799.06,2001-03-29,2001,3,29
314,9878.78,2001-03-30,2001,3,30
315,9777.93,2001-04-02,2001,4,2
316,9485.71,2001-04-03,2001,4,3
317,9515.42,2001-04-04,2001,4,4
318,9918.05,2001-04-05,2001,4,5
319,9791.09,2001-04-06,2001,4,6
320,9845.15,2001-04-09,2001,4,9
321,10102.74,2001-04-10,2001,4,10
322,10013.47,2001-04-11,2001,4,11
323,10126.94,2001-04-12,2001,4,12
324,10158.56,2001-04-16,2001,4,16
325,10216.73,2001-04-17,2001,4,17
326,10615.83,2001-04-18,2001,4,18
327,10693.71,2001-04-19,2001,4,19
328,10579.85,2001-04-20,2001,4,20
329,10532.23,2001-04-23,2001,4,23
330,10454.34,2001-04-24,2001,4,24
331,10625.7,2001-04-25,2001,4,25
332,10692.35,2001-04-26,2001,4,26
333,10810.05,2001-04-27,2001,4,27
334,10734.97,2001-04-30,2001,4,30
