,Gas87,Gas91,Diesel,Year,Month,Day
0,15.99,17.79,17.05,2017,1,1
1,16.02,17.82,17.08,2017,1,2
2,16.02,17.83,17.08,2017,1,3
3,16.02,17.83,17.08,2017,1,4
4,16.02,17.83,17.08,2017,1,5
5,16.02,17.83,17.08,2017,1,6
6,16.02,17.83,17.08,2017,1,7
7,16.02,17.83,17.08,2017,1,8
8,16.02,17.83,17.09,2017,1,9
9,16.02,17.83,17.08,2017,1,10
10,16.01,17.82,17.08,2017,1,11
11,16.01,17.83,17.08,2017,1,12
12,16.01,17.82,17.08,2017,1,13
13,16.0,17.82,17.07,2017,1,14
14,16.0,17.82,17.07,2017,1,15
15,16.0,17.82,17.07,2017,1,16
16,16.0,17.81,17.07,2017,1,17
17,16.0,17.81,17.07,2017,1,18
18,16.0,17.81,17.07,2017,1,19
19,16.0,17.81,17.07,2017,1,20
20,16.0,17.81,17.07,2017,1,21
21,16.0,17.81,17.07,2017,1,22
22,16.0,17.81,17.07,2017,1,23
23,16.0,17.81,17.07,2017,1,24
24,16.0,17.81,17.07,2017,1,25
25,15.99,17.8,17.07,2017,1,26
26,15.99,17.81,17.07,2017,1,27
27,15.99,17.81,17.07,2017,1,28
28,15.99,17.81,17.07,2017,1,29
29,15.99,17.81,17.07,2017,1,30
30,15.99,17.82,17.08,2017,1,31
31,15.91,17.77,17.08,2017,2,1
32,15.89,17.74,17.08,2017,2,2
33,15.88,17.74,17.08,2017,2,3
34,15.87,17.73,17.08,2017,2,4
35,15.86,17.73,17.08,2017,2,5
36,15.86,17.73,17.07,2017,2,6
37,15.86,17.72,17.07,2017,2,7
38,15.86,17.72,17.07,2017,2,8
39,15.85,17.72,17.07,2017,2,9
40,15.84,17.72,17.07,2017,2,10
41,15.84,17.71,17.07,2017,2,11
42,15.8,17.68,17.08,2017,2,12
43,15.75,17.66,17.09,2017,2,13
44,15.71,17.64,17.09,2017,2,14
45,15.69,17.62,17.09,2017,2,15
46,15.69,17.62,17.09,2017,2,16
47,15.67,17.62,17.1,2017,2,17
48,15.93,17.76,17.05,2017,2,18
49,15.93,17.76,17.06,2017,2,19
50,15.93,17.76,17.06,2017,2,20
51,15.92,17.75,17.06,2017,2,21
52,15.92,17.75,17.06,2017,2,22
53,15.91,17.74,17.06,2017,2,23
54,15.9,17.73,17.03,2017,2,24
55,15.89,17.73,17.03,2017,2,25
56,15.89,17.73,17.03,2017,2,26
57,15.89,17.73,17.03,2017,2,27
58,15.89,17.73,17.02,2017,2,28
59,15.87,17.72,17.03,2017,3,1
60,15.86,17.72,17.04,2017,3,2
61,15.84,17.7,17.03,2017,3,3
62,15.82,17.68,17.0,2017,3,4
63,15.82,17.68,17.0,2017,3,5
64,15.82,17.68,17.0,2017,3,6
65,15.8,17.66,16.98,2017,3,7
66,15.82,17.68,17.01,2017,3,8
67,15.82,17.68,17.01,2017,3,9
68,15.81,17.7,16.99,2017,3,10
69,15.8,17.69,16.98,2017,3,11
70,15.8,17.69,16.98,2017,3,12
71,15.8,17.69,16.98,2017,3,13
72,15.78,17.67,16.96,2017,3,14
73,15.77,17.66,16.95,2017,3,15
74,15.79,17.63,16.95,2017,3,16
75,15.77,17.62,16.96,2017,3,17
76,15.77,17.61,16.94,2017,3,18
77,15.77,17.61,16.94,2017,3,19
78,15.76,17.61,16.94,2017,3,20
79,15.76,17.6,16.93,2017,3,21
80,15.76,17.6,16.93,2017,3,22
81,15.76,17.6,16.91,2017,3,23
82,15.75,17.59,16.9,2017,3,24
83,15.73,17.57,16.88,2017,3,25
84,15.73,17.57,16.88,2017,3,26
85,15.73,17.57,16.88,2017,3,27
86,15.74,17.57,16.87,2017,3,28
87,15.75,17.58,16.88,2017,3,29
88,15.75,17.58,16.88,2017,3,30
89,15.76,17.6,16.88,2017,3,31
90,15.75,17.59,16.88,2017,4,1
91,15.75,17.59,16.88,2017,4,2
92,15.75,17.59,16.88,2017,4,3
93,15.77,17.6,16.89,2017,4,4
94,15.77,17.6,16.88,2017,4,5
95,15.79,17.62,16.89,2017,4,6
96,15.78,17.61,16.9,2017,4,7
97,15.79,17.62,16.89,2017,4,8
98,15.79,17.62,16.89,2017,4,9
99,15.79,17.62,16.89,2017,4,10
100,15.8,17.62,16.89,2017,4,11
101,15.81,17.62,16.9,2017,4,12
102,15.81,17.63,16.91,2017,4,13
103,15.81,17.62,16.92,2017,4,14
104,15.81,17.62,16.92,2017,4,15
105,15.81,17.62,16.92,2017,4,16
106,15.81,17.62,16.92,2017,4,17
107,15.81,17.62,16.92,2017,4,18
108,15.79,17.61,16.9,2017,4,19
109,15.79,17.61,16.89,2017,4,20
110,15.77,17.61,16.88,2017,4,21
111,15.78,17.61,16.88,2017,4,22
112,15.78,17.62,16.88,2017,4,23
113,15.78,17.61,16.88,2017,4,24
114,15.77,17.59,16.86,2017,4,25
115,15.75,17.56,16.84,2017,4,26
116,15.77,17.59,16.85,2017,4,27
117,15.75,17.57,16.85,2017,4,28
118,15.73,17.54,16.83,2017,4,29
119,15.73,17.54,16.83,2017,4,30
120,15.73,17.54,16.83,2017,5,1
121,15.71,17.52,16.82,2017,5,2
122,15.71,17.52,16.82,2017,5,3
123,15.68,17.5,16.79,2017,5,4
124,15.69,17.53,16.79,2017,5,5
125,15.67,17.51,16.76,2017,5,6
126,15.67,17.51,16.76,2017,5,7
127,15.67,17.51,16.76,2017,5,8
128,15.67,17.52,16.76,2017,5,9
129,15.67,17.53,16.77,2017,5,10
130,15.65,17.51,16.76,2017,5,11
131,15.66,17.52,16.76,2017,5,12
132,15.67,17.53,16.76,2017,5,13
133,15.67,17.53,16.76,2017,5,14
134,15.67,17.53,16.76,2017,5,15
135,15.66,17.54,16.75,2017,5,16
136,15.67,17.55,16.75,2017,5,17
137,15.66,17.54,16.74,2017,5,18
138,15.66,17.54,16.75,2017,5,19
139,15.67,17.53,16.76,2017,5,20
140,15.67,17.53,16.76,2017,5,21
141,15.67,17.53,16.76,2017,5,22
142,15.7,17.56,16.76,2017,5,23
143,15.7,17.56,16.77,2017,5,24
144,15.69,17.55,16.77,2017,5,25
145,15.69,17.55,16.77,2017,5,26
146,15.67,17.53,16.75,2017,5,27
147,15.67,17.53,16.75,2017,5,28
148,15.67,17.53,16.75,2017,5,29
149,15.68,17.54,16.76,2017,5,30
150,15.68,17.54,16.76,2017,5,31
151,15.69,17.53,16.75,2017,6,1
152,15.68,17.52,16.73,2017,6,2
153,15.68,17.52,16.71,2017,6,3
154,15.68,17.52,16.71,2017,6,4
155,15.68,17.52,16.71,2017,6,5
156,15.66,17.5,16.69,2017,6,6
157,15.63,17.48,16.67,2017,6,7
158,15.63,17.47,16.65,2017,6,8
159,15.6,17.45,16.63,2017,6,9
160,15.6,17.42,16.62,2017,6,10
161,15.6,17.42,16.62,2017,6,11
162,15.6,17.42,16.62,2017,6,12
163,15.6,17.42,16.61,2017,6,13
164,15.58,17.4,16.6,2017,6,14
165,15.56,17.39,16.6,2017,6,15
166,15.53,17.36,16.57,2017,6,16
167,15.54,17.37,16.57,2017,6,17
168,15.54,17.37,16.57,2017,6,18
169,15.54,17.37,16.57,2017,6,19
170,15.54,17.36,16.56,2017,6,20
171,15.54,17.38,16.54,2017,6,21
172,15.52,17.35,16.53,2017,6,22
173,15.52,17.34,16.5,2017,6,23
174,15.5,17.33,16.49,2017,6,24
175,15.5,17.33,16.49,2017,6,25
176,15.5,17.33,16.49,2017,6,26
177,15.49,17.32,16.48,2017,6,27
178,15.47,17.3,16.47,2017,6,28
179,15.48,17.31,16.48,2017,6,29
180,15.48,17.3,16.48,2017,6,30
181,15.49,17.3,16.49,2017,7,1
182,15.49,17.3,16.49,2017,7,2
183,15.49,17.31,16.49,2017,7,3
184,15.51,17.32,16.5,2017,7,4
185,15.51,17.32,16.5,2017,7,5
186,15.51,17.32,16.5,2017,7,6
187,15.51,17.32,16.5,2017,7,7
188,15.52,17.33,16.5,2017,7,8
189,15.51,17.33,16.49,2017,7,9
190,15.51,17.33,16.49,2017,7,10
191,15.49,17.3,16.47,2017,7,11
192,15.48,17.31,16.46,2017,7,12
193,15.48,17.31,16.47,2017,7,13
194,15.47,17.3,16.45,2017,7,14
195,15.47,17.3,16.45,2017,7,15
196,15.47,17.3,16.44,2017,7,16
197,15.47,17.3,16.44,2017,7,17
198,15.47,17.3,16.44,2017,7,18
199,15.47,17.3,16.44,2017,7,19
200,15.48,17.29,16.44,2017,7,20
201,15.48,17.29,16.45,2017,7,21
