,Fecha,SF63528,Year,Month,Day
0,1954-04-19,0.0125,1954,4,19
1,1954-04-20,0.0125,1954,4,20
2,1954-04-21,0.0125,1954,4,21
3,1954-04-22,0.0125,1954,4,22
4,1954-04-23,0.0125,1954,4,23
5,1954-04-26,0.0125,1954,4,26
6,1954-04-27,0.0125,1954,4,27
7,1954-04-28,0.0125,1954,4,28
8,1954-04-29,0.0125,1954,4,29
9,1954-04-30,0.0125,1954,4,30
10,1954-05-03,0.0125,1954,5,3
11,1954-05-04,0.0125,1954,5,4
12,1954-05-05,0.0125,1954,5,5
13,1954-05-06,0.0125,1954,5,6
14,1954-05-07,0.0125,1954,5,7
15,1954-05-10,0.0125,1954,5,10
16,1954-05-11,0.0125,1954,5,11
17,1954-05-12,0.0125,1954,5,12
18,1954-05-13,0.0125,1954,5,13
19,1954-05-14,0.0125,1954,5,14
20,1954-05-17,0.0125,1954,5,17
21,1954-05-18,0.0125,1954,5,18
22,1954-05-19,0.0125,1954,5,19
23,1954-05-20,0.0125,1954,5,20
24,1954-05-21,0.0125,1954,5,21
25,1954-05-24,0.0125,1954,5,24
26,1954-05-25,0.0125,1954,5,25
27,1954-05-26,0.0125,1954,5,26
28,1954-05-27,0.0125,1954,5,27
29,1954-05-28,0.0125,1954,5,28
30,1954-05-31,0.0125,1954,5,31
31,1954-06-01,0.0125,1954,6,1
32,1954-06-02,0.0125,1954,6,2
33,1954-06-03,0.0125,1954,6,3
34,1954-06-04,0.0125,1954,6,4
35,1954-06-07,0.0125,1954,6,7
36,1954-06-08,0.0125,1954,6,8
37,1954-06-09,0.0125,1954,6,9
38,1954-06-10,0.0125,1954,6,10
39,1954-06-11,0.0125,1954,6,11
40,1954-06-14,0.0125,1954,6,14
41,1954-06-15,0.0125,1954,6,15
42,1954-06-16,0.0125,1954,6,16
43,1954-06-17,0.0125,1954,6,17
44,1954-06-18,0.0125,1954,6,18
45,1954-06-21,0.0125,1954,6,21
46,1954-06-22,0.0125,1954,6,22
47,1954-06-23,0.0125,1954,6,23
48,1954-06-24,0.0125,1954,6,24
49,1954-06-25,0.0125,1954,6,25
50,1954-06-28,0.0125,1954,6,28
51,1954-06-29,0.0125,1954,6,29
52,1954-06-30,0.0125,1954,6,30
53,1954-07-01,0.0125,1954,7,1
54,1954-07-02,0.0125,1954,7,2
55,1954-07-05,0.0125,1954,7,5
56,1954-07-06,0.0125,1954,7,6
57,1954-07-07,0.0125,1954,7,7
58,1954-07-08,0.0125,1954,7,8
59,1954-07-09,0.0125,1954,7,9
60,1954-07-12,0.0125,1954,7,12
61,1954-07-13,0.0125,1954,7,13
62,1954-07-14,0.0125,1954,7,14
63,1954-07-15,0.0125,1954,7,15
64,1954-07-16,0.0125,1954,7,16
65,1954-07-19,0.0125,1954,7,19
66,1954-07-20,0.0125,1954,7,20
67,1954-07-21,0.0125,1954,7,21
68,1954-07-22,0.0125,1954,7,22
69,1954-07-23,0.0125,1954,7,23
70,1954-07-26,0.0125,1954,7,26
71,1954-07-27,0.0125,1954,7,27
72,1954-07-28,0.0125,1954,7,28
73,1954-07-29,0.0125,1954,7,29
74,1954-07-30,0.0125,1954,7,30
